省份,大学,类型,公或民办,本或专科,985,211,双一流,城市,隶属于,地址
河北,邢台学院,师范类,公办,普通本科,2,2,,邢台市,河北省,"邢台学院：河北省邢台市桥东区泉北东大街88号,邢台学院机电工程学院校区：河北省邢台市桥西区泉北西大街1169号"
河北,中国人民警察大学,政法类,公办,普通本科,2,2,,廊坊市,公安部,河北省廊坊市西环路220号
河北,北京中医药大学东方学院,综合类,民办,普通本科,2,2,,廊坊市,河北省教育厅,"廊坊校区学院地址：廊坊市东方大学城教学南区,渤海校区学院地址：河北省沧州市渤海新区中捷产业园区渤海3号路东段"
河北,唐山师范学院,师范类,公办,普通本科,2,2,,唐山市,河北省,"校本部大学道校区：河北省唐山市建设北路156号,校本部学院路校区：河北省唐山市学院路41号"
河北,唐山学院,理工类,公办,普通本科,2,2,,唐山市,河北省,河北省唐山市大学西道162号
河北,燕山大学里仁学院,理工类,民办,普通本科,2,2,,秦皇岛市,河北省教育厅,河北省秦皇岛市河北大街438号
河北,石家庄铁道大学四方学院,理工类,民办,普通本科,2,2,,石家庄市,河北省教育厅,河北省石家庄市装院路甲一号
河北,河北经贸大学经济管理学院,财经类,民办,普通本科,2,2,,石家庄市,河北省教育厅,石家庄市红旗大街428号
河北,河北传媒学院,艺术类,民办,普通本科,2,2,,石家庄市,河北省教育厅,河北省石家庄市新华区警安路8号
河北,河北师范大学汇华学院,师范类,民办,普通本科,2,2,,石家庄市,河北省教育厅,河北省石家庄市红旗大街469号
河北,河北工程大学科信学院,理工类,民办,普通本科,2,2,,邯郸市,河北省教育厅,河北省邯郸市光明南大街199号
河北,石家庄铁路职业技术学院,理工类,公办,专科（高职）,2,2,,石家庄市,河北省,"石家庄市学府路41号,石家庄市四水厂路18号"
河北,河北中医学院,医药类,公办,普通本科,2,2,,石家庄市,河北省,"杏苑校区位于河北省石家庄市鹿泉区杏苑路3号,橘泉校区位于河北省石家庄市桥西区新石南路326号"
河北,河北工程技术学院,综合类,民办,普通本科,2,2,,石家庄市,河北省教育厅,河北省石家庄市桥西区宫北路11号
河北,河北外国语学院,语言类,民办,普通本科,2,2,,石家庄市,河北省教育厅,石家庄市红旗南大街汇丰西路29号
河北,河北地质大学华信学院,财经类,民办,普通本科,2,2,,石家庄市,河北省教育厅,石家庄市空港工业园区北环港路69号
河北,沧州师范学院,师范类,公办,普通本科,2,2,,沧州市,河北省,河北省沧州市运河区青海南大道16号
河北,河北科技学院,理工类,民办,普通本科,2,2,,保定市,河北省教育厅,河北省保定市南二环路1956号
河北,张家口学院,师范类,公办,普通本科,2,2,,张家口市,河北省,河北省张家口市桥西区平门大街副19号
河北,河北农业大学现代科技学院,农林类,民办,普通本科,2,2,,保定市,河北省教育厅,河北省保定市乐凯南大街2596号
河北,邢台职业技术学院,理工类,公办,专科（高职）,2,2,,邢台市,河北省,河北省邢台市钢铁路552号
河北,河北水利电力学院,理工类,公办,普通本科,2,2,,沧州市,河北省,河北省沧州市重庆路1号
河北,石家庄邮电职业技术学院,理工类,公办,专科（高职）,2,2,,石家庄市,河北省,"石家庄市体育南大街318号（西校区）,石家庄市翟营南大街51号（东校区）"
河北,河北石油职业技术大学,理工类,公办,普通本科,2,2,,承德市,河北省教育厅,河北省承德市高新技术产业开发区学院路2号
河北,河北美术学院,艺术类,民办,普通本科,2,2,,石家庄市,河北省教育厅,河北省石家庄空港工业园区北环港路111号
河北,保定职业技术学院,综合类,公办,专科（高职）,2,2,,保定市,河北省,河北省保定市朝阳南大街613号
河北,秦皇岛职业技术学院,理工类,公办,专科（高职）,2,2,,秦皇岛市,河北省,河北省秦皇岛市北戴河区海滨联峰北路90号
河北,河北民族师范学院,师范类,公办,普通本科,2,2,,承德市,河北省,河北省承德市高新区学院路西2号
河北,河北对外经贸职业学院,语言类,公办,专科（高职）,2,2,,秦皇岛市,河北省,河北省秦皇岛市北戴河新区戴河大街6号
河北,华北理工大学轻工学院,理工类,民办,普通本科,2,2,,唐山市,河北省教育厅,河北省唐山市丰润区南环东道99号
河北,河北化工医药职业技术学院,理工类,公办,专科（高职）,2,2,,石家庄市,河北省,河北省石家庄市裕华区方兴路88号
河北,河北交通职业技术学院,理工类,公办,专科（高职）,2,2,,石家庄市,河北省,"主校区：石家庄市珠江大道219号,西校区：石家庄市友谊南大街258号"
河北,河北政法职业学院,政法类,公办,专科（高职）,2,2,,石家庄市,河北省,河北省石家庄市新华区友谊北大街569号
河北,沧州医学高等专科学校,医药类,公办,专科（高职）,2,2,,沧州市,河北省,河北省沧州市运河区广州路
河北,河北东方学院,综合类,民办,普通本科,2,2,,廊坊市,河北省教育厅,河北廊坊经济开发区东方大学城圣陶路（凯旋门北100米）
河北,石家庄医学高等专科学校,医药类,民办,专科（高职）,2,2,,石家庄市,河北省教育厅,河北省石家庄市石获南路209号石家庄医学高等专科学校
